20.05.2019                                                                                     Saída dinâmica de lista                                                                                             1


		CgDF	OrgV	Dt.fatur.	EmissorOrd	TipFt	PRec	Doc.SD	CDst	SA	Ctg.doc.	Endereço	Nome emissor ordem	Cidade EO	CrtOrdenaç	Numer.	LExp	Status CRR	  Val.líq.	Moeda	Tp.	Nm.tp.DV	Dt.fatur.	TipFt	Status	Grupo

	X	L	1001	17.05.2019	119813	ZVMI	BR	80000098	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000099	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000100	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000101	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000103	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000104	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000105	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000106	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000107	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000108	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000109	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000110	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000111	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000112	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000113	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000114	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000115	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000116	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000117	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000118	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000119	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
